정류소명,정류소ID,승차건수(총합계),하차건수(총합계),승차건수(카드),하차건수(카드),승차건수(현금),일평균 승하차건수
효성대신아파트,41041,5675,2741,5524,2741,151,280
효성대신아파트,41042,396,3925,386,3925,10,144
효성도서관,41420,2563,359,2540,359,23,97
효성동동화운수차고지,41573,11800,4183,11448,4183,352,532
효성명현초등학교,41065,4065,1005,3903,1005,162,169
효성사거리,41017,1329,4844,1288,4844,41,205
효성사거리,41018,11828,4585,11560,4585,268,547
효성사거리,41019,4932,6670,4837,6670,95,386
효성사거리,41631,903,736,880,736,23,54
효성상아아파트,39357,13449,16069,13264,16069,185,983
효성상아아파트,39358,18341,12978,18156,12978,185,1043
효성서초등학교,41557,2639,408,2618,408,21,101
효성서초등학교,41558,361,2265,360,2265,1,87
효성서초등학교,41579,196,1034,196,1034,0,41
효성서초등학교,41580,1736,536,1718,536,18,75
효성성모병원,41022,5899,246,5804,246,95,204
효성소방파출소,41023,9236,2975,9090,2975,146,407
효성신사거리,41030,1589,7747,1507,7747,82,311
효성신사거리,41031,7321,1387,7167,1387,154,290
효성아파트,42166,9258,2760,9144,2760,114,400
효성아파트,42168,2756,7430,2723,7430,33,339
효성중앙교회,41021,166,7309,112,7309,54,249
효성프라자,41052,7006,8311,6803,8311,203,510
효성프라자,41055,6360,5333,6197,5333,163,389
효성현대3차,41049,1284,3249,1220,3249,64,151
효성현대3차아파트,41051,911,572,877,572,34,49
효성현대4차,41035,3049,4577,2830,4577,219,254
효성현대4차아파트,41036,4790,2012,4709,2012,81,226
효자교앞,90199,7,2,7,2,0,0
효자교앞,90200,4,13,4,13,0,0
효정아파트,38260,1011,1562,988,1562,23,85
후정초등학교.삼산도서관,40685,46,1245,43,1245,3,43
후지테크,39051,2021,1263,2001,1263,20,109
후지테크,39052,462,1951,461,1951,1,80
후포항입구,43431,15,87,14,87,1,3
후포항입구,43481,32,5,29,5,3,1
휴먼시아1단지,40837,3794,6466,3721,6466,73,342
휴먼시아1단지,40838,6336,2415,6246,2415,90,291
휴먼시아1단지,40840,973,0,935,0,38,32
휴먼시아1단지,40852,336,1815,231,1815,105,71
휴먼시아후문,42885,9851,3823,9661,3823,190,455
흥륜사입구,38723,12,15,11,15,1,0
흥륜사입구,38724,9,18,9,18,0,0
흥성리,18804,16,244,16,244,0,8
흥성리,62029,188,17,186,17,2,6
흥왕2리마을회관 앞,43122,24,23,21,23,3,1
흥왕2리마을회관 앞,43520,25,25,22,25,3,1
흥왕리,90073,0,22,0,22,0,0
흥왕리,90074,18,13,14,13,4,1
흥왕상회,43502,31,45,31,45,0,2
흥왕상회,43516,36,6,32,6,4,1
희경산업·남동스카이장례식장,39031,212,93,209,93,3,10
희경산업·남동스카이장례식장,39961,17,304,16,304,1,10
희망찬요양병원,38126,4065,6667,3988,6667,77,357
희망천입구,40091,5558,4698,5407,4698,151,341
희망천입구,40799,6076,5612,5985,5612,91,389
희망체육공원입구,40912,5256,54,4950,54,306,177
희성금속,42018,114,528,113,528,1,21
힐데스하임,42876,10045,2935,9842,2935,203,432
힐스테이트,35457,15577,10120,15374,10120,203,856
힐스테이트,35458,6244,5325,6013,5325,231,385
힐스테이트레이크송도(후문),38630,2242,1761,2218,1761,24,133
힐스테이트레이크송도(후문),38656,2217,1706,2155,1706,62,130
힐스테이트레이크송도1차입구,38655,990,1235,965,1235,25,74
힐스테이트레이크송도2차(201동),38641,1455,1967,1430,1967,25,114
힐스테이트레이크송도2차(201동),38657,1727,729,1700,729,27,81
힐스테이트송도더테라스(정문),38715,1156,245,1112,245,44,46
힐스테이트송도더테라스(정문),38716,210,646,201,646,9,28
힐스테이트송도더테라스(후문),38713,2525,2274,2373,2274,152,159
힐스테이트송도더테라스(후문),38714,615,2188,556,2188,59,93
힐스테이트푸르지오주안,37293,21163,31213,20718,31213,445,1745
힐스테이트학익,37022,5299,3668,5146,3668,153,298
힐스테이트학익,37023,3561,7157,3500,7157,61,357
힐스테이트학익104동앞,37669,831,1546,811,1546,20,79
힐스테이트학익104동앞,37670,1515,4623,1496,4623,19,204
힐캐슬프라자,39329,10682,14853,10473,14853,209,851
힐캐슬프라자,39331,16495,8840,16057,8840,438,844
힘찬병원,40891,5072,6884,5018,6884,54,398
힘찬병원,40892,3775,3084,3693,3084,82,228
